ubigeo,departamento,distrito,promedio_semanal,mediana_semanal,maximo_semanal,desviacion_semanal,pct_semanas_alta,crecimiento_promedio,frecuencia_semanas_con_casos,semana_pico,cluster,pca_1,pca_2
130112,LA LIBERTAD,ALTO TRUJILLO,25.304347826086957,2.5,133,40.02980930844314,0.0,0.17382861747716188,0.6521739130434783,16.0,2,5.8715567403500115,2.066660188774173
130201,LA LIBERTAD,ASCOPE,1.477495107632094,0.0,34,4.268734738718902,0.2191780821917808,0.06986812697050664,0.22113502935420742,20.0,1,-0.4011871539978127,0.167053466222272
130202,LA LIBERTAD,CHICAMA,2.5171790235081373,0.0,96,9.496747972868125,0.1844484629294756,0.09366347999789111,0.18625678119349007,10.0,1,-0.04716924796680183,-0.21430628171296884
130203,LA LIBERTAD,CHOCOPE,1.9349240780911063,0.0,90,9.493695558790552,0.14967462039045554,0.07754194101723279,0.14967462039045554,10.0,1,-0.2097209359233817,-0.3006853879834764
130204,LA LIBERTAD,MAGDALENA DE CAO,0.765625,0.0,10,1.627327059743984,0.0,0.17775372775372775,0.3125,9.0,1,-0.42304375617991574,0.5670899868905183
130205,LA LIBERTAD,PAIJAN,6.698412698412699,0.0,202,22.79011197492632,0.3194444444444444,0.09717018969545727,0.3194444444444444,11.0,0,1.398772280522457,-0.43954097882731225
130206,LA LIBERTAD,RAZURI,1.1566265060240963,0.0,11,2.114105967359522,0.0,0.17772938443670153,0.3855421686746988,11.0,1,-0.19949372012015817,0.7640215925288174
130207,LA LIBERTAD,SANTIAGO DE CAO,0.5251989389920424,0.0,17,2.291728067063711,0.09549071618037135,0.04024124038595253,0.09814323607427056,12.0,1,-0.8841030972425404,-0.09868511470528507
130208,LA LIBERTAD,CASA GRANDE,7.7910750507099396,0.0,244,27.168077285444333,0.31237322515212984,0.09174988856538574,0.31237322515212984,11.0,0,1.7465624352816123,-0.6756871291936649
130304,LA LIBERTAD,LONGOTEA,3.4242424242424243,3.0,9,2.685881188625496,0.0,0.3771949404761905,0.8787878787878788,5.0,0,2.5840604351402523,4.714029759900439
130401,LA LIBERTAD,CHEPEN,3.997413793103448,0.0,263,19.50850814037962,0.14655172413793102,0.057782723152886906,0.14741379310344827,17.0,0,0.7452136858832372,-0.954921895199601
130402,LA LIBERTAD,PACANGA,0.5709251101321586,0.0,47,3.4577424491439164,0.07136563876651983,0.05050074829145934,0.0722466960352423,31.0,1,-0.828833315678566,-0.2688205711458622
130403,LA LIBERTAD,PUEBLO NUEVO,0.08620689655172414,0.0,4,0.44661496024098685,0.04597701149425287,0.023342939481268015,0.04885057471264368,6.0,1,-1.1317930156683047,-0.1652243773649863
130701,LA LIBERTAD,SAN PEDRO DE LLOC,0.8264182895850973,0.0,43,4.222978124692328,0.06350550381033022,0.02099294147756358,0.06350550381033022,10.0,1,-0.8034874381491132,-0.30953351131217144
130702,LA LIBERTAD,GUADALUPE,1.7240184757505774,0.0,67,6.57019658450278,0.14780600461893764,0.052489917946673154,0.1489607390300231,15.0,1,-0.3813242715558403,-0.1786388120171928
